Name,Postcode,Latitude,Longitude
Veolia UK Ltd,NG25 0RG,53.08038713333333,-1.0657673
Sinkfall Recycling,LA14 4QE,54.15165,-3.20827
SUEZ Environment,LE65 1SD,52.7713064,-1.4275583
SUEZ Environment,CV7 7HN,52.4614199,-1.68636
Tamar Organics T/A Biogen,BR8 7QP,51.4035273,0.14897845
Tamar Organics T/A Biogen,CM16 6RZ,51.72269825,0.188703
DWML Group Ltd (T/A Coastal Organics),EX5 1DR,50.7042522,-3.4164987
Brosters Environmental Ltd,OL14 7AF,53.7142,-2.16249
The Woodhorn Group Ltd,PO20 1NW,50.82141,-0.74213
TMA Bark Supplies,NR9 5LG,52.6952806,1.0925483
Veolia Environmental Services (Hants) Ltd Chilbolton,SO20 6BU,51.12871,-1.41577
Veolia ES (UK) Ltd,SS16 4UH,51.5559918,0.5038098
Veolia ES South Downs Ltd.,BN8 6JD,50.90731,0.16949
Biffa Waste Services Limited,BA7 7NR,51.08534185,-2.54505925
Biffa Waste Services Limited,TA2 8QY,51.02813543571428,-3.08148155
Biffa Waste Services Limited,TA6 4TF,51.17035,-2.99242
W.G.R. Ltd,CW5 7PN,53.01062,-2.46042
West Coast Composting Ltd,CA2 8UR ,,
The Greener Gardening Company Ltd,L33 3AN,53.47081,-2.84919
Ynys Mon C.C.,LL59 5RY,53.2453875,-4.1977734
FCC Environment (UK) Ltd,LL22 8HP,53.29013,-3.65348
Downs Farm Ltd T/A The Green Waste Co,PL26 8LH,50.4340199,-4.82415
Ashton's Composting Ltd,DN14 7ND,53.79012,-0.81342
The Green Waste Company (Abergavenny) Ltd,NP7 8AY,51.83009,-2.99922
Yorwaste,DL10 6AB,54.39209,-1.624
MD Recycling Ltd,SA43 1RD,52.0959974,-4.6194578
FCC Environment (UK) Ltd,OX14 4PW,51.63487,-1.25481
Envar Composting,KT16 0EF,51.38516,-0.5694399
Jack Moody Recycling,CV9 3DT,52.6137405,-1.5625509
Willen Biogas Ltd,EN2 8AU,51.6905,-0.12061
New Earth Solutions (West) Limited t/a Mid-UK Recycling,NG33 5LY,52.78656,-0.5994199
Regeneration Services Ltd,GU32 1ED,51.0403369,-0.9798244666666666
D & K J Bragg,PL19 8NN,50.54685,-4.18757
Acton House Farm,BT35 6TA,20.0514579,-75.7792751
Land Network (Gainsborough) Limited,DN21 5PB,53.3739599,-0.68537
Fife Resource Solutions,KY12 0RX,56.0959338,-3.473293
Scott Bros Environmental Services Ltd,TS23 1PX,54.5852547,-1.2618874
Forth Resource Management Ltd,PH2 9PX,56.30579,-3.3378199
J & F Powner Limited,LE10 3AW,52.53075,-1.31215
Biowise Ltd,BD10 0NS,53.841106,-1.7031084
DWML Group Ltd (T/A Coastal Organics),TQ12 3DZ,50.5500159,-3.5806154
Freeland Horticulture Ltd,CF3 2EH,51.49702,-3.11126
The Green Waste Company (Downs Farm),TR27 6LH,50.17375,-5.4538399
SED Services Ltd,L38 5DA,53.52633,-3.03248
DWML Group Ltd (T/A Coastal Organics),EX38 7JA,50.9678526,-4.0951737
Hope Farm Ltd,CT18 7EG,51.09997,1.17932
Veolia UK Ltd,CV23 9HH,52.3577801,-1.342707
Renewi,WF9 3TH,53.6005489,-1.3282705
Envar - Kilsby Composting,CV23 8XF,52.3327,-1.17595
Newport City Council,NP20 2NS,51.57127342857142,-3.001499271428571
Llantrisant Recycling Limited,CF72 8YY,51.55702,-3.38454
South West Composting,PL8 2DB,50.35408,-4.03298
South Ayrshire Council,KA9 2NS,55.49952,-4.59164
Yorwaste Ltd,YO23 3RR,53.96408,-1.18251
Biowise Ltd,CW1 4QQ,53.11278,-2.47986
Durham County Council,DH6 4RT,54.7226347,-1.4929992
MF Bennion (Potatoes) Ltd,GL18 2EF,51.99773,-2.46536
Yorwaste,YO12 4QA,54.22681,-0.41835
Material Change Composting Limited,MK18 6AG,52.0069359,-0.9596853
Welland Waste Management Ltd,LE17 6NJ,52.46014,-1.02896
Allium Helmsley Limited,YO7 4EJ,54.22696,-1.42395
Growing Beds Recycling Services Ltd,MK19 7HD,52.09561,-0.8387
Enviro Grind Ltd,F94 YR13,,
Friction Energy,DA4 9LB,51.4101,0.2591
SUEZ Environment,NE63 9XS,55.1998,-1.5846
The Woodhorn Group Ltd,PO20 2FT,50.8529391,-0.7072756
Laverstoke Composting Ltd,RG25 3DR,51.21833,-1.25813
Forth Resource Management Ltd- East Fenton,EH39 5AH,56.02455,-2.76839
John Cooper Recycling Ltd,PR26 6AB,53.70721,-2.69764
Keenan Recycling Ltd,AB53 6YH,57.51112,-2.2293
Levenseat Ltd,ML11 8EP,55.77816,-3.67607
Natural World Products (green waste),BT60 3RA,,
Natural World Products,BT17 0LH,,
Veolia Environmental Services,RN13 9DA,34.054242,-5.5326912
FCC Environment (UK) Ltd,IP28 8LD,52.29965,0.48486
Stubbs Copse Wood Yard,BN18 9PQ,50.8452078,-0.53974165
Agripost Ltd,SY5 9NQ,52.70559,-2.90184
Cumberlow Compost Services Ltd (T/A Cumberlows),SG9 0QD,51.95736,-0.10719
CWM Environmental Ltd,SA32 8BG,51.8354329,-4.2169034
Enva Organics Recycling Ltd,G74 2LE ,55.7570781,-4.1308125
Gray Composting Services Ltd,AB45 2UL,57.67362,-2.74488
Keenan (Recycling) Limited,AB53 6YH,57.51112,-2.2293
Biffa Waste Services Limited,CV33 9PP,52.24939,-1.42976
Levenseat Ltd,ML11 8EP,55.77816,-3.67607
New Earth Solutions (Kent) Ltd),ME19 4PN,51.28024,0.38564
M & DI Kemp & Sons,YO42 4ST,53.87653,-0.84231
Severn Trent Green Power (Ardley) Limited,OX27 7JP,51.97977,-1.24428
SUEZ Environment,SK17 7JB,53.27443,-1.87769
SUEZ Environment,S44 5DN,53.22983,-1.36585
Tamar Organics T/A Biogen,IP28 6HJ,,
Veolia Environmental Services (Hants) Ltd Little Bushy Warren,RG25 2NS,51.21613,-1.06043
Veolia ES West Berkshire Ltd,RG7 4HY,51.3979,-1.12005
Vital Earth GB Ltd,DE6 1HA,53.00618755,-1.7168136
West London Composting Ltd,UB9 6LX,51.5836362,-0.4696774
Greenacre Composting Enterprises Ltd,BT29 4HG,,
Natural World Products (In-vessel),BT60 3RA,,
Earnside Energy Ltd,PH2 9PX,56.30579,-3.3378199
Biowise Ltd,HU10 6TS,53.76431,-0.45961
Amey,CB25 9PG,52.29168845,0.1756995
Ashton's Composting Ltd,DN14 7ND,53.79012,-0.81342
Biowise Ltd,CW1 4QQ,53.11278,-2.47986
